got_pizza,karma,age,raop_age,pop_request,activity,total_posts,raop_posts,prev_raop_post,words,poor,student,grateful,score
0,7,0,0,9,1,0,0,First Post,164,Poor not in post,Student,Grateful not in post,-6
0,308,256.247962963,0,4,29,10,0,First Post,81,Poor in post,No student,Grateful not in post,0
0,2367,515.844768519,0,17,6,6,0,First Post,66,Poor not in post,Student,Grateful not in post,-4
0,170,61.6728009259,0,2,22,10,0,First Post,23,Poor not in post,No student,Grateful not in post,0
0,0,0,0,3,0,0,0,First Post,56,Poor not in post,No student,Grateful not in post,-12
1,8,154.871608796,0,6,5,0,0,First Post,44,Poor not in post,No student,Grateful not in post,-3
1,323,448.643773148,0,2,26,8,0,First Post,82,Poor not in post,No student,Grateful not in post,-3
0,110,253.104618056,0,1,10,5,0,First Post,39,Poor not in post,No student,Grateful in post,3
0,6609,271.307361111,0,1,34,33,0,First Post,30,Poor not in post,No student,Grateful not in post,3
0,4,9.82979166667,0,2,2,0,0,First Post,17,Poor not in post,No student,Grateful not in post,-2
0,24,243.062928241,0,7,3,3,0,First Post,383,Poor not in post,No student,Grateful not in post,0
1,0,0,0,4,0,0,0,First Post,39,Poor not in post,No student,Grateful not in post,6
0,1810,509.139143519,0,2,35,21,0,First Post,28,Poor not in post,No student,Grateful not in post,1
0,133,166.542719907,0,1,19,6,0,First Post,51,Poor not in post,No student,Grateful not in post,0
0,393,389.786469907,0,3,13,7,0,First Post,44,Poor not in post,No student,Grateful not in post,2
0,366,68.8810069444,59.1233217593,5,20,7,0,First Post,98,Poor not in post,No student,Grateful not in post,5
0,0,0,0,4,0,0,0,First Post,195,Poor not in post,No student,Grateful not in post,0
0,803,756.104618056,0,4,28,72,0,First Post,91,Poor not in post,No student,Grateful not in post,-6
1,346,229.582546296,0,1,17,30,0,First Post,46,Poor not in post,Student,Grateful not in post,0
0,90,129.347696759,0,23,13,12,0,First Post,79,Poor not in post,No student,Grateful not in post,0
0,11778,534.615798611,0,3,75,88,0,First Post,68,Poor not in post,No student,Grateful not in post,-5
0,0,0,0,5,0,0,0,First Post,38,Poor not in post,No student,Grateful not in post,4
1,31,1.12878472222,1.12665509259,5,3,0,0,First Post,18,Poor not in post,No student,Grateful not in post,10
0,2,0,0,2,1,0,0,First Post,35,Poor not in post,No student,Grateful not in post,-2
0,212,92.955150463,44.9820833333,1,18,0,0,First Post,37,Poor not in post,No student,Grateful not in post,3
0,0,0,0,5,0,0,0,First Post,26,Poor not in post,No student,Grateful not in post,-3
1,0,0,0,6,0,0,0,First Post,91,Poor not in post,No student,Grateful not in post,0
1,385,410.958321759,0,4,15,4,0,First Post,7,Poor not in post,No student,Grateful not in post,0
1,1023,449.365868056,0,8,26,11,0,First Post,35,Poor not in post,No student,Grateful not in post,-1
1,61,1449.84990741,0,6,22,31,0,First Post,131,Poor not in post,No student,Grateful not in post,1
0,0,0,0,6,0,0,0,First Post,96,Poor not in post,No student,Grateful not in post,1
0,327,105.616539352,0,3,7,10,0,First Post,82,Poor not in post,No student,Grateful in post,-3
0,65,19.8067476852,0,1,9,4,0,First Post,44,Poor not in post,No student,Grateful not in post,2
0,2151,436.755324074,24.7630439815,19,26,64,0,First Post,119,Poor not in post,No student,Grateful not in post,7
0,101,178.569756944,130.189027778,2,8,3,0,First Post,22,Poor not in post,No student,Grateful not in post,6
0,2415,327.992800926,0,14,36,24,0,First Post,2,Poor not in post,No student,Grateful not in post,0
0,8,72.4645949074,0,8,1,1,0,First Post,9,Poor not in post,No student,Grateful not in post,-1
0,9,108.731770833,105.846111111,2,4,1,0,First Post,9,Poor not in post,No student,Grateful not in post,0
0,1884,294.101689815,0,1,79,14,0,First Post,73,Poor not in post,No student,Grateful not in post,4
0,9,11.843587963,0.962060185185,4,3,0,0,First Post,28,Poor not in post,No student,Grateful not in post,1
0,1017,321.537569444,87.63375,6,39,5,0,First Post,48,Poor not in post,No student,Grateful not in post,0
0,0,1.89082175926,1.89082175926,1,1,1,1,Posted Before,67,Poor not in post,Student,Grateful not in post,-2
0,954,162.720717593,0,3,5,7,0,First Post,55,Poor not in post,No student,Grateful not in post,4
0,1512,74.2229398148,0,5,40,10,0,First Post,23,Poor not in post,No student,Grateful not in post,4
0,1884,747.253287037,0,2,62,33,0,First Post,128,Poor not in post,No student,Grateful not in post,2
0,0,0,0,8,0,0,0,First Post,126,Poor not in post,No student,Grateful not in post,6
1,51,44.248587963,0,8,3,1,0,First Post,222,Poor not in post,No student,Grateful not in post,-12
1,1721,469.766516204,0,2,39,27,0,First Post,80,Poor not in post,No student,Grateful not in post,-5
1,24,56.2590740741,0,7,7,0,0,First Post,205,Poor not in post,No student,Grateful not in post,5
1,0,0,0,4,0,0,0,First Post,71,Poor not in post,No student,Grateful not in post,4
0,42,46.3906481481,0,5,6,8,0,First Post,60,Poor not in post,No student,Grateful not in post,1
0,627,140.142685185,0,9,16,8,0,First Post,69,Poor not in post,No student,Grateful not in post,-13
0,64,37.6745486111,35.733275463,3,8,4,0,First Post,6,Poor not in post,No student,Grateful not in post,1
0,6,34.2090972222,0,1,1,1,0,First Post,72,Poor not in post,No student,Grateful not in post,3
0,0,0,0,9,0,0,0,First Post,133,Poor not in post,No student,Grateful not in post,-2
0,6,75.8876736111,0,2,3,1,0,First Post,14,Poor not in post,No student,Grateful not in post,3
0,524,688.236423611,0,7,17,22,0,First Post,NA,Poor not in post,No student,Grateful not in post,NA
0,0,0,0,25,0,0,0,First Post,55,Poor not in post,No student,Grateful not in post,-1
0,0,0,0,9,0,0,0,First Post,181,Poor not in post,No student,Grateful not in post,-18
0,571,313.932905093,0,1,24,11,0,First Post,48,Poor not in post,No student,Grateful not in post,5
1,19,9.89482638889,0,8,2,1,0,First Post,198,Poor not in post,No student,Grateful not in post,-1
0,15,730.906875,0,5,7,3,0,First Post,60,Poor not in post,No student,Grateful not in post,-2
1,353,273.014756944,0,4,20,17,0,First Post,156,Poor not in post,No student,Grateful not in post,-2
0,1,0,0,2,1,0,0,First Post,121,Poor not in post,No student,Grateful not in post,5
1,5955,995.245914352,32.2860185185,3,109,154,0,First Post,100,Poor not in post,No student,Grateful not in post,1
0,21,195.003402778,159.744409722,3,5,3,1,Posted Before,31,Poor not in post,No student,Grateful not in post,0
0,126,658.254872685,0,6,6,13,0,First Post,41,Poor not in post,No student,Grateful not in post,1
1,0,0,0,7,0,0,0,First Post,45,Poor not in post,No student,Grateful not in post,1
0,0,0,0,10,0,0,0,First Post,73,Poor not in post,No student,Grateful not in post,4
0,911,239.057743056,0,2,23,51,0,First Post,2,Poor not in post,No student,Grateful not in post,0
0,345,152.773136574,0,2,16,14,0,First Post,96,Poor not in post,No student,Grateful not in post,4
0,874,579.4040625,0,11,28,20,0,First Post,20,Poor not in post,Student,Grateful not in post,10
0,626,259.043969907,0,1,33,14,0,First Post,98,Poor not in post,No student,Grateful not in post,1
0,1,0,0,3,1,0,0,First Post,24,Poor not in post,No student,Grateful not in post,-1
1,5561,673.618993056,0,18,51,273,0,First Post,63,Poor not in post,No student,Grateful not in post,2
0,0,0,0,5,0,0,0,First Post,175,Poor not in post,No student,Grateful not in post,-6
1,73,75.1543981481,0.0185185185185,8,9,0,0,First Post,83,Poor not in post,No student,Grateful not in post,11
0,0,0,0,5,0,0,0,First Post,77,Poor not in post,No student,Grateful in post,3
0,0,0,0,2,0,0,0,First Post,62,Poor not in post,No student,Grateful not in post,0
0,0,0,0,3,0,0,0,First Post,44,Poor not in post,No student,Grateful not in post,0
0,0,0,0,1,0,0,0,First Post,107,Poor not in post,No student,Grateful not in post,2
0,0,0,0,4,0,0,0,First Post,38,Poor not in post,Student,Grateful not in post,-3
1,0,0,0,5,0,0,0,First Post,43,Poor not in post,No student,Grateful not in post,6
0,17,37.4235300926,0,6,1,1,0,First Post,79,Poor not in post,No student,Grateful not in post,3
0,2,0,0,4,1,0,0,First Post,184,Poor not in post,No student,Grateful not in post,-3
1,41,395.982523148,0,10,5,16,0,First Post,123,Poor not in post,No student,Grateful not in post,-1
0,1456,336.6046875,111.744097222,8,15,9,0,First Post,24,Poor not in post,No student,Grateful not in post,3
0,278,28.8141898148,24.7783101852,3,8,27,0,First Post,56,Poor not in post,No student,Grateful not in post,1
0,8,11.8978240741,6.98790509259,19,3,0,0,First Post,25,Poor not in post,No student,Grateful not in post,1
0,1,0,0,1,1,0,0,First Post,103,Poor not in post,No student,Grateful not in post,8
0,3065,80.8756712963,0,1,21,49,0,First Post,54,Poor not in post,No student,Grateful not in post,3
0,789,324.01212963,0,4,12,2,0,First Post,1,Poor not in post,No student,Grateful not in post,0
0,715,93.0065972222,0,7,12,9,0,First Post,24,Poor not in post,No student,Grateful not in post,6
1,847,699.130729167,0,1,20,17,0,First Post,16,Poor not in post,No student,Grateful not in post,-5
0,0,0,0,4,1,0,0,First Post,29,Poor not in post,No student,Grateful not in post,7
1,589,299.431006944,0,9,27,17,0,First Post,77,Poor not in post,Student,Grateful not in post,8
0,1262,288.641689815,194.770821759,28,26,15,0,First Post,44,Poor not in post,No student,Grateful not in post,-3
0,389,979.560763889,0,21,23,13,0,First Post,17,Poor not in post,No student,Grateful not in post,3
1,25,491.088263889,441.901608796,1,5,1,1,Posted Before,202,Poor not in post,No student,Grateful not in post,2
0,182,213.859814815,0,4,2,0,0,First Post,89,Poor not in post,No student,Grateful not in post,1
0,79,56.3575810185,0,8,10,1,0,First Post,157,Poor not in post,No student,Grateful not in post,-1
0,50,570.750613426,0,1,9,4,0,First Post,28,Poor not in post,No student,Grateful not in post,0
0,49,587.460532407,0,1,3,5,0,First Post,11,Poor not in post,No student,Grateful not in post,4
0,125,60.2336111111,0,7,7,8,0,First Post,48,Poor not in post,No student,Grateful in post,11
0,0,0,0,6,0,0,0,First Post,78,Poor not in post,No student,Grateful not in post,4
0,106,24.4921064815,0,4,8,0,0,First Post,82,Poor not in post,No student,Grateful not in post,3
0,1,52.0271412037,52.0271412037,10,1,1,1,Posted Before,NA,Poor not in post,No student,Grateful not in post,NA
0,465,551.254027778,0,3,28,15,0,First Post,21,Poor not in post,Student,Grateful not in post,0
0,150,4.82234953704,0,11,4,0,0,First Post,50,Poor not in post,No student,Grateful not in post,2
1,3316,389.206435185,0,1,42,66,0,First Post,71,Poor not in post,No student,Grateful not in post,-2
0,4854,390.753576389,0,2,53,114,0,First Post,46,Poor in post,No student,Grateful not in post,-11
0,1774,571.678125,0,5,15,76,0,First Post,72,Poor not in post,No student,Grateful not in post,0
1,0,0,0,9,0,0,0,First Post,81,Poor not in post,Student,Grateful not in post,10
1,6010,827.348969907,0,13,99,56,0,First Post,19,Poor not in post,No student,Grateful not in post,1
1,213,472.6503125,0,3,12,0,0,First Post,68,Poor not in post,No student,Grateful not in post,2
0,73,25.9924537037,0,2,16,5,0,First Post,85,Poor not in post,No student,Grateful not in post,5
1,36,218.726782407,0,8,4,12,0,First Post,57,Poor not in post,Student,Grateful not in post,-7
0,2,10.2389814815,0,2,3,2,0,First Post,45,Poor not in post,No student,Grateful not in post,5
0,2,0,0,2,1,0,0,First Post,69,Poor not in post,No student,Grateful not in post,0
1,42,98.5324768519,0,9,8,5,0,First Post,59,Poor not in post,No student,Grateful not in post,7
0,534,529.456759259,0,5,22,0,0,First Post,53,Poor not in post,No student,Grateful not in post,0
1,1394,384.622974537,0,16,33,10,0,First Post,144,Poor not in post,No student,Grateful not in post,3
1,0,0,0,2,0,0,0,First Post,39,Poor not in post,No student,Grateful not in post,2
0,5,157.137407407,0,4,2,1,0,First Post,11,Poor not in post,No student,Grateful not in post,6
0,765,312.976736111,0,2,25,45,0,First Post,161,Poor not in post,No student,Grateful not in post,7
0,35,2.39508101852,0,5,1,1,0,First Post,113,Poor not in post,No student,Grateful not in post,16
0,946,58.0213310185,0,3,19,24,0,First Post,200,Poor not in post,No student,Grateful not in post,-9
1,9809,757.851851852,111.640115741,7,42,94,0,First Post,109,Poor not in post,No student,Grateful not in post,-12
1,7559,1202.97496528,0,32,92,78,0,First Post,125,Poor not in post,Student,Grateful not in post,1
0,0,0,0,1,0,0,0,First Post,82,Poor not in post,No student,Grateful not in post,-2
1,7483,1154.17694444,0,2,45,15,0,First Post,81,Poor not in post,No student,Grateful not in post,8
0,0,0,0,3,0,0,0,First Post,53,Poor not in post,No student,Grateful not in post,2
1,129,99.8163773148,0,1,9,2,0,First Post,152,Poor not in post,No student,Grateful not in post,3
0,111,548.761712963,0,4,17,3,0,First Post,62,Poor not in post,Student,Grateful not in post,-5
0,42,71.8164236111,0,3,8,3,0,First Post,116,Poor not in post,No student,Grateful not in post,-5
0,0,0,0,5,0,0,0,First Post,44,Poor not in post,No student,Grateful not in post,6
0,689,80.8546643519,69.7221064815,2,12,15,2,Posted Before,8,Poor not in post,No student,Grateful not in post,0
0,17,88.8349421296,0,1,7,0,0,First Post,66,Poor not in post,No student,Grateful in post,0
1,0,0,0,5,0,0,0,First Post,70,Poor not in post,No student,Grateful not in post,13
0,51,264.270717593,0,7,9,6,0,First Post,35,Poor not in post,No student,Grateful not in post,-8
0,90,327.858981481,0,6,10,9,0,First Post,220,Poor not in post,No student,Grateful not in post,3
0,566,265.053981481,0,7,25,11,0,First Post,35,Poor not in post,No student,Grateful not in post,-4
0,297,102.422060185,0,5,19,8,0,First Post,NA,Poor not in post,No student,Grateful not in post,NA
1,-39,148.012418981,0,80,2,2,0,First Post,140,Poor not in post,Student,Grateful not in post,2
0,441,290.344421296,0,4,34,25,0,First Post,50,Poor not in post,No student,Grateful not in post,0
0,1250,101.920671296,68.2472222222,3,21,20,0,First Post,27,Poor not in post,No student,Grateful not in post,9
0,109,193.230625,0,1,11,2,0,First Post,28,Poor not in post,Student,Grateful not in post,3
0,390,493.623275463,0,9,15,5,0,First Post,53,Poor not in post,No student,Grateful not in post,0
0,3212,170.875486111,14.5012384259,2,46,32,0,First Post,216,Poor not in post,No student,Grateful not in post,3
0,279,496.645104167,0,16,20,13,0,First Post,142,Poor not in post,No student,Grateful not in post,4
1,1920,128.192430556,46.6516550926,105,20,45,1,Posted Before,36,Poor not in post,No student,Grateful not in post,0
1,9721,931.476215278,0,11,68,153,0,First Post,108,Poor not in post,No student,Grateful not in post,8
0,7,10.6845138889,0,4,3,0,0,First Post,110,Poor in post,No student,Grateful not in post,2
0,3212,308.528541667,0,7,18,34,0,First Post,2,Poor not in post,No student,Grateful not in post,0
0,-2,377.102534722,0,1,5,10,0,First Post,17,Poor not in post,No student,Grateful not in post,3
0,2750,356.975011574,0,2,26,8,0,First Post,100,Poor not in post,No student,Grateful not in post,6
0,2772,697.975023148,0,1,20,90,0,First Post,31,Poor not in post,No student,Grateful not in post,4
0,50,199.769537037,0,1,15,2,0,First Post,44,Poor not in post,No student,Grateful not in post,4
0,331,137.771782407,0,6,19,10,0,First Post,71,Poor not in post,Student,Grateful not in post,3
0,0,0,0,3,0,0,0,First Post,38,Poor not in post,No student,Grateful not in post,3
0,0,0,0,4,0,0,0,First Post,64,Poor not in post,No student,Grateful not in post,2
1,2071,922.573148148,0,2,39,20,0,First Post,81,Poor not in post,No student,Grateful not in post,3
0,1177,195.616701389,7.60203703704,1,52,20,0,First Post,54,Poor not in post,No student,Grateful not in post,0
0,4439,653.904236111,0,3,46,39,0,First Post,62,Poor not in post,No student,Grateful not in post,3
0,0,0,0,3,0,0,0,First Post,37,Poor not in post,No student,Grateful not in post,-1
0,0,0,0,4,0,0,0,First Post,145,Poor not in post,No student,Grateful not in post,9
0,0,0,0,5,0,0,0,First Post,90,Poor not in post,No student,Grateful not in post,4
0,20,202.648240741,0,5,2,2,0,First Post,84,Poor not in post,No student,Grateful in post,3
0,0,0,0,1,0,0,0,First Post,148,Poor not in post,No student,Grateful not in post,-4
0,607,387.613576389,0,7,16,38,0,First Post,75,Poor not in post,No student,Grateful not in post,16
1,1906,495.751655093,0,12,36,25,0,First Post,50,Poor not in post,No student,Grateful not in post,-1
0,3,68.7535300926,0,1,1,0,0,First Post,32,Poor not in post,No student,Grateful not in post,9
0,5,0,0,7,1,0,0,First Post,60,Poor in post,No student,Grateful not in post,10
1,1940,219.157662037,0,5,17,12,0,First Post,40,Poor not in post,No student,Grateful not in post,0
1,762,105.852268519,0,3,22,0,0,First Post,57,Poor not in post,No student,Grateful not in post,13
0,60,119.887141204,0,5,22,32,0,First Post,38,Poor not in post,No student,Grateful not in post,6
0,948,201.207592593,0,3,31,0,0,First Post,105,Poor not in post,No student,Grateful in post,2
0,613,154.06150463,0,2,26,36,0,First Post,88,Poor not in post,No student,Grateful not in post,2
1,7907,459.434768519,105.12275463,1,59,114,1,Posted Before,27,Poor not in post,No student,Grateful not in post,3
1,1358,401.680960648,325.68255787,11,18,9,0,First Post,4,Poor not in post,No student,Grateful not in post,0
0,4177,272.277071759,0,1,40,57,0,First Post,50,Poor not in post,No student,Grateful not in post,5
1,34,48.5083333333,0,6,3,1,0,First Post,70,Poor not in post,No student,Grateful not in post,-1
1,7,1.86236111111,1.86236111111,6,2,1,1,Posted Before,140,Poor not in post,No student,Grateful not in post,-10
0,1355,278.832893519,0,7,57,23,0,First Post,70,Poor not in post,No student,Grateful not in post,4
1,6173,1069.07438657,592.806331019,26,24,74,0,First Post,253,Poor not in post,No student,Grateful not in post,-3
0,6,25.5428587963,0,2,3,3,0,First Post,31,Poor not in post,No student,Grateful not in post,2
0,142,137.455231481,0,5,10,14,0,First Post,36,Poor not in post,No student,Grateful not in post,5
0,2063,585.769375,0.076099537037,1,37,31,0,First Post,70,Poor not in post,No student,Grateful not in post,9
0,55,11.6801041667,0,4,5,0,0,First Post,107,Poor not in post,No student,Grateful not in post,0
0,92,75.8118171296,0,3,11,5,0,First Post,36,Poor not in post,No student,Grateful not in post,-1
1,1405,1352.82269676,0,5,66,80,0,First Post,73,Poor not in post,Student,Grateful not in post,6
1,63,15.2644212963,0,5,2,2,0,First Post,141,Poor not in post,Student,Grateful not in post,-1
0,103,449.827361111,0,3,6,3,0,First Post,106,Poor not in post,No student,Grateful not in post,4
0,0,0,0,5,0,0,0,First Post,221,Poor not in post,Student,Grateful not in post,13
0,1145,142.157210648,24.2860763889,1,23,29,0,First Post,32,Poor not in post,No student,Grateful not in post,3
0,953,94.0875694444,0,8,20,6,0,First Post,88,Poor not in post,No student,Grateful not in post,8
0,749,837.002349537,0,12,35,25,0,First Post,90,Poor not in post,No student,Grateful not in post,6
0,43,119.281481481,0,2,4,3,0,First Post,28,Poor not in post,No student,Grateful not in post,0
0,1619,340.824282407,297.832800926,6,54,19,0,First Post,8,Poor not in post,No student,Grateful not in post,2
0,0,0,0,9,0,0,0,First Post,81,Poor not in post,No student,Grateful not in post,-4
1,0,0,0,8,0,0,0,First Post,145,Poor not in post,No student,Grateful not in post,-8
0,0,0,0,5,0,0,0,First Post,17,Poor not in post,No student,Grateful not in post,2
0,0,0,0,9,0,0,0,First Post,37,Poor not in post,No student,Grateful not in post,2
0,48,84.8387037037,6.75929398148,4,6,1,0,First Post,22,Poor not in post,No student,Grateful not in post,1
1,16,9.06835648148,0,6,4,4,0,First Post,73,Poor not in post,Student,Grateful not in post,7
0,5,14.8931018519,14.8931018519,19,1,0,0,First Post,110,Poor not in post,No student,Grateful in post,9
1,50,63.0519328704,0,6,2,2,0,First Post,68,Poor not in post,No student,Grateful not in post,0
0,0,0,0,3,0,0,0,First Post,92,Poor not in post,No student,Grateful not in post,-9
1,1127,256.88505787,0,13,31,33,0,First Post,82,Poor not in post,No student,Grateful not in post,-2
1,491,186.592905093,0,5,17,11,0,First Post,39,Poor not in post,No student,Grateful not in post,-2
0,1112,95.5185185185,0,6,8,1,0,First Post,59,Poor not in post,No student,Grateful not in post,0
0,4664,978.166550926,0,6,81,368,0,First Post,58,Poor not in post,No student,Grateful not in post,-4
0,0,0,0,4,0,0,0,First Post,43,Poor not in post,No student,Grateful not in post,1
1,16,60.5449189815,0,3,4,0,0,First Post,34,Poor in post,Student,Grateful not in post,-3
0,214,263.056585648,0,4,32,12,0,First Post,39,Poor not in post,No student,Grateful not in post,2
1,0,0,0,29,0,0,0,First Post,56,Poor not in post,No student,Grateful not in post,-2
0,3393,525.485034722,0,4,153,102,0,First Post,75,Poor not in post,No student,Grateful not in post,-3
0,1450,259.934699074,0,3,25,8,0,First Post,58,Poor not in post,Student,Grateful not in post,-6
0,44,119.25599537,0,4,11,4,0,First Post,61,Poor not in post,No student,Grateful not in post,5
0,522,750.523171296,0,5,50,16,0,First Post,26,Poor not in post,No student,Grateful not in post,-2
1,3417,303.06099537,0,3,49,17,0,First Post,9,Poor not in post,No student,Grateful not in post,0
0,91,379.667118056,0,1,15,5,0,First Post,43,Poor not in post,No student,Grateful not in post,5
0,1457,304.499502315,0.0562384259259,2,26,12,0,First Post,87,Poor not in post,Student,Grateful not in post,-1
1,37,42.9023263889,0,4,5,4,0,First Post,44,Poor not in post,No student,Grateful not in post,-1
0,18,4.31277777778,0,2,4,0,0,First Post,115,Poor not in post,No student,Grateful not in post,-4
0,3741,1874.88204861,0,2,28,12,0,First Post,66,Poor not in post,No student,Grateful not in post,5
0,173,45.2247222222,0,3,5,0,0,First Post,28,Poor not in post,No student,Grateful not in post,5
0,93,24.3631018519,0,20,3,2,0,First Post,154,Poor not in post,No student,Grateful not in post,-9
0,532,124.586828704,22.957650463,2,33,4,0,First Post,81,Poor not in post,No student,Grateful not in post,7
0,12,2.02873842593,2.02873842593,2,3,1,1,Posted Before,88,Poor not in post,No student,Grateful not in post,5
0,12,25.9897453704,0,3,5,0,0,First Post,104,Poor not in post,No student,Grateful not in post,10
0,141,169.97880787,0,3,15,8,0,First Post,72,Poor not in post,Student,Grateful not in post,3
0,40,111.128576389,0,9,3,1,0,First Post,43,Poor not in post,No student,Grateful not in post,2
0,47,317.982465278,28.8446527778,3,7,2,0,First Post,111,Poor not in post,Student,Grateful not in post,2
1,15795,334.59587963,0,28,24,75,0,First Post,127,Poor not in post,No student,Grateful not in post,13
0,18,562.103541667,0,2,6,1,0,First Post,25,Poor not in post,No student,Grateful not in post,2
0,0,0,0,7,0,0,0,First Post,183,Poor not in post,No student,Grateful not in post,-3
0,-1,68.0571990741,0,2,5,0,0,First Post,50,Poor not in post,No student,Grateful not in post,-5
0,7,12.6462268519,0,1,1,1,0,First Post,58,Poor not in post,No student,Grateful not in post,2
0,95,145.868842593,0,9,11,11,0,First Post,101,Poor not in post,No student,Grateful not in post,2
1,2660,169.838321759,0,3,65,17,0,First Post,152,Poor not in post,No student,Grateful not in post,0
1,1050,185.984513889,0,4,12,17,0,First Post,26,Poor not in post,No student,Grateful not in post,0
1,20,5.82136574074,0,14,4,2,0,First Post,99,Poor not in post,No student,Grateful not in post,2
0,128,539.255590278,0.729641203704,38,26,30,0,First Post,NA,Poor not in post,No student,Grateful not in post,NA
0,0,0,0,9,0,0,0,First Post,132,Poor not in post,No student,Grateful not in post,10
1,999,417.873263889,0,2,32,29,0,First Post,140,Poor not in post,Student,Grateful not in post,0
0,47,13.3339699074,0,9,6,4,0,First Post,53,Poor not in post,No student,Grateful not in post,10
0,1309,611.689328704,0,2,62,6,0,First Post,64,Poor not in post,No student,Grateful not in post,-6
1,480,643.993483796,0,15,16,10,0,First Post,570,Poor not in post,No student,Grateful not in post,-9
0,563,115.668761574,1.46574074074,7,11,18,0,First Post,65,Poor in post,Student,Grateful not in post,-2
1,200,557.860532407,0,20,30,27,0,First Post,61,Poor not in post,No student,Grateful not in post,-2
0,12,0,0,15,1,0,0,First Post,133,Poor not in post,No student,Grateful not in post,2
0,1424,97.3261342593,0,7,5,3,0,First Post,32,Poor not in post,No student,Grateful not in post,2
0,0,0,0,2,0,0,0,First Post,47,Poor not in post,No student,Grateful not in post,1
0,0,0,0,6,0,0,0,First Post,225,Poor not in post,No student,Grateful not in post,10
0,1471,682.210416667,0,3,18,9,0,First Post,57,Poor not in post,No student,Grateful not in post,-4
0,57,175.060856481,0,3,11,1,0,First Post,57,Poor not in post,Student,Grateful not in post,1
1,3,0,0,6,1,0,0,First Post,153,Poor not in post,No student,Grateful not in post,12
0,5753,1686.86790509,0,6,56,107,0,First Post,95,Poor not in post,No student,Grateful not in post,6
1,1306,221.949907407,0,1,30,29,0,First Post,62,Poor not in post,No student,Grateful not in post,3
0,0,0,0,5,0,0,0,First Post,78,Poor not in post,No student,Grateful not in post,0
0,0,0,0,2,0,0,0,First Post,55,Poor not in post,No student,Grateful not in post,7
0,25,486.306030093,0,3,6,1,0,First Post,76,Poor not in post,No student,Grateful in post,12
0,0,0,0,10,0,0,0,First Post,140,Poor not in post,No student,Grateful not in post,-3
0,1341,302.398125,0,2,32,45,0,First Post,85,Poor not in post,No student,Grateful not in post,-1
0,2185,304.234513889,0,2,75,172,0,First Post,33,Poor not in post,No student,Grateful not in post,5
0,0,0,0,4,0,0,0,First Post,164,Poor not in post,No student,Grateful not in post,-7
0,2658,581.101736111,0,2,55,22,0,First Post,41,Poor not in post,No student,Grateful not in post,-2
1,400,89.4339467593,0,4,7,0,0,First Post,67,Poor not in post,No student,Grateful not in post,0
